 zone T = "Var  1 : Implicit",
 0.00000E+00  0.47802E+01
-0.10000E+00  0.46644E+01
-0.20000E+00  0.48374E+01
-0.30000E+00  0.46034E+01
-0.40000E+00  0.44026E+01
-0.50000E+00  0.44416E+01
-0.60000E+00  0.43331E+01
-0.70000E+00  0.42875E+01
-0.80000E+00  0.41701E+01
-0.90000E+00  0.40858E+01
-0.10000E+01  0.39683E+01
-0.11000E+01  0.38390E+01
-0.12000E+01  0.36947E+01
-0.13000E+01  0.35260E+01
-0.14000E+01  0.38016E+01
-0.15000E+01  0.34463E+01
-0.16000E+01  0.29592E+01
-0.17000E+01  0.27755E+01
-0.18000E+01  0.25808E+01
-0.19000E+01  0.26218E+01
-0.20000E+01  0.27531E+01
-0.21000E+01  0.29805E+01
-0.22000E+01  0.23826E+01
-0.23000E+01  0.25375E+01
-0.24000E+01  0.23454E+01
-0.25000E+01  0.23996E+01
-0.26000E+01  0.24490E+01
-0.27000E+01  0.25324E+01
-0.28000E+01  0.26126E+01
-0.29000E+01  0.27032E+01
-0.30000E+01  0.28148E+01
-0.31000E+01  0.29303E+01
-0.32000E+01  0.30474E+01
-0.33000E+01  0.31845E+01
-0.34000E+01  0.33444E+01
-0.35000E+01  0.35135E+01
-0.36000E+01  0.36224E+01
-0.37000E+01  0.37251E+01
-0.38000E+01  0.38931E+01
-0.39000E+01  0.39983E+01
-0.40000E+01  0.43804E+01
-0.41000E+01  0.45077E+01
-0.42000E+01  0.48169E+01
-0.43000E+01  0.48970E+01
-0.44000E+01  0.47831E+01
-0.45000E+01  0.50058E+01
-0.46000E+01  0.49979E+01
-0.47000E+01  0.48529E+01
-0.48000E+01  0.51067E+01
-0.49000E+01  0.51020E+01
-0.50000E+01  0.51095E+01
-0.51000E+01  0.50129E+01
-0.52000E+01  0.51259E+01
-0.53000E+01  0.52488E+01
-0.54000E+01  0.50055E+01
-0.55000E+01  0.49696E+01
-0.56000E+01  0.52722E+01
-0.57000E+01  0.52277E+01
-0.58000E+01  0.50559E+01
-0.59000E+01  0.50720E+01
-0.60000E+01  0.51883E+01
-0.61000E+01  0.49627E+01
-0.62000E+01  0.50510E+01
-0.63000E+01  0.49373E+01
-0.64000E+01  0.52402E+01
-0.65000E+01  0.50041E+01
-0.66000E+01  0.52919E+01
-0.67000E+01  0.49764E+01
-0.68000E+01  0.49817E+01
-0.69000E+01  0.51674E+01
-0.70000E+01  0.49478E+01
-0.71000E+01  0.50716E+01
-0.72000E+01  0.49717E+01
-0.73000E+01  0.50636E+01
-0.74000E+01  0.49764E+01
-0.75000E+01  0.50364E+01
-0.76000E+01  0.50321E+01
-0.77000E+01  0.50321E+01
-0.78000E+01  0.52410E+01
-0.79000E+01  0.49486E+01
-0.80000E+01  0.52039E+01
 zone T = "Var  1 : Predicted",
 0.00000E+00  0.20402E+01
-0.10000E+00  0.20373E+01
-0.20000E+00  0.20342E+01
-0.30000E+00  0.20309E+01
-0.40000E+00  0.20277E+01
-0.50000E+00  0.20246E+01
-0.60000E+00  0.20220E+01
-0.70000E+00  0.20199E+01
-0.80000E+00  0.20184E+01
-0.90000E+00  0.20176E+01
-0.10000E+01  0.20174E+01
-0.11000E+01  0.20177E+01
-0.12000E+01  0.20183E+01
-0.13000E+01  0.20191E+01
-0.14000E+01  0.21138E+01
-0.15000E+01  0.20670E+01
-0.16000E+01  0.20217E+01
-0.17000E+01  0.20224E+01
-0.18000E+01  0.20230E+01
-0.19000E+01  0.20779E+01
-0.20000E+01  0.20484E+01
-0.21000E+01  0.21296E+01
-0.22000E+01  0.20243E+01
-0.23000E+01  0.20825E+01
-0.24000E+01  0.20246E+01
-0.25000E+01  0.20247E+01
-0.26000E+01  0.20247E+01
-0.27000E+01  0.20248E+01
-0.28000E+01  0.20248E+01
-0.29000E+01  0.20248E+01
-0.30000E+01  0.20248E+01
-0.31000E+01  0.20248E+01
-0.32000E+01  0.20248E+01
-0.33000E+01  0.20248E+01
-0.34000E+01  0.20248E+01
-0.35000E+01  0.20248E+01
-0.36000E+01  0.20248E+01
