 zone T = "Var            1 : Implicit",
 0.00000E+00  0.99375E+00
-0.10000E+00  0.99129E+00
-0.20000E+00  0.98907E+00
-0.30000E+00  0.98751E+00
-0.40000E+00  0.98723E+00
-0.50000E+00  0.98890E+00
-0.60000E+00  0.99300E+00
-0.70000E+00  0.99943E+00
-0.80000E+00  0.10074E+01
-0.90000E+00  0.10156E+01
-0.10000E+01  0.10231E+01
-0.11000E+01  0.10296E+01
-0.12000E+01  0.10352E+01
-0.13000E+01  0.10406E+01
-0.14000E+01  0.10463E+01
-0.15000E+01  0.10527E+01
-0.16000E+01  0.10594E+01
-0.17000E+01  0.10660E+01
-0.18000E+01  0.10717E+01
-0.19000E+01  0.10760E+01
-0.20000E+01  0.10784E+01
-0.21000E+01  0.10791E+01
-0.22000E+01  0.10782E+01
-0.23000E+01  0.10761E+01
-0.24000E+01  0.10732E+01
-0.25000E+01  0.10698E+01
-0.26000E+01  0.10664E+01
-0.27000E+01  0.10631E+01
-0.28000E+01  0.10601E+01
-0.29000E+01  0.10574E+01
-0.30000E+01  0.10552E+01
-0.31000E+01  0.10532E+01
-0.32000E+01  0.10516E+01
-0.33000E+01  0.10502E+01
-0.34000E+01  0.10491E+01
-0.35000E+01  0.10482E+01
-0.36000E+01  0.10474E+01
-0.37000E+01  0.10467E+01
-0.38000E+01  0.10462E+01
-0.39000E+01  0.10457E+01
-0.40000E+01  0.10453E+01
-0.41000E+01  0.10449E+01
-0.42000E+01  0.10446E+01
-0.43000E+01  0.10444E+01
-0.44000E+01  0.10442E+01
-0.45000E+01  0.10440E+01
-0.46000E+01  0.10439E+01
-0.47000E+01  0.10438E+01
-0.48000E+01  0.10437E+01
-0.49000E+01  0.10436E+01
-0.50000E+01  0.10436E+01
-0.51000E+01  0.10435E+01
-0.52000E+01  0.10435E+01
-0.53000E+01  0.10435E+01
-0.54000E+01  0.10434E+01
-0.55000E+01  0.10434E+01
-0.56000E+01  0.10434E+01
-0.57000E+01  0.10434E+01
-0.58000E+01  0.10434E+01
-0.59000E+01  0.10434E+01
-0.60000E+01  0.10434E+01
-0.61000E+01  0.10434E+01
-0.62000E+01  0.10434E+01
-0.63000E+01  0.10434E+01
-0.64000E+01  0.10434E+01
-0.65000E+01  0.10434E+01
-0.66000E+01  0.10434E+01
-0.67000E+01  0.10434E+01
-0.68000E+01  0.10434E+01
-0.69000E+01  0.10434E+01
-0.70000E+01  0.10434E+01
-0.71000E+01  0.10434E+01
-0.72000E+01  0.10434E+01
-0.73000E+01  0.10434E+01
-0.74000E+01  0.10434E+01
-0.75000E+01  0.10434E+01
-0.76000E+01  0.10434E+01
-0.77000E+01  0.10434E+01
-0.78000E+01  0.10434E+01
-0.79000E+01  0.10434E+01
-0.80000E+01  0.10434E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.24017E+01
-0.10000E+00  0.24395E+01
-0.20000E+00  0.24781E+01
-0.30000E+00  0.25169E+01
-0.40000E+00  0.25548E+01
-0.50000E+00  0.25910E+01
-0.60000E+00  0.26243E+01
-0.70000E+00  0.26537E+01
-0.80000E+00  0.26780E+01
-0.90000E+00  0.26963E+01
-0.10000E+01  0.27071E+01
-0.11000E+01  0.27092E+01
-0.12000E+01  0.27012E+01
-0.13000E+01  0.26815E+01
-0.14000E+01  0.26482E+01
-0.15000E+01  0.25992E+01
-0.16000E+01  0.25313E+01
-0.17000E+01  0.24392E+01
-0.18000E+01  0.23072E+01
-0.19000E+01  0.21439E+01
-0.20000E+01  0.20373E+01
-0.21000E+01  0.19356E+01
-0.22000E+01  0.18823E+01
-0.23000E+01  0.18555E+01
-0.24000E+01  0.18447E+01
-0.25000E+01  0.18505E+01
-0.26000E+01  0.18745E+01
-0.27000E+01  0.19071E+01
-0.28000E+01  0.19486E+01
-0.29000E+01  0.19993E+01
-0.30000E+01  0.20581E+01
-0.31000E+01  0.21232E+01
-0.32000E+01  0.21932E+01
-0.33000E+01  0.22639E+01
-0.34000E+01  0.23333E+01
-0.35000E+01  0.23945E+01
-0.36000E+01  0.24423E+01
-0.37000E+01  0.24666E+01
-0.38000E+01  0.24503E+01
-0.39000E+01  0.23254E+01
-0.40000E+01  0.22194E+01
-0.41000E+01  0.21638E+01
-0.42000E+01  0.21276E+01
-0.43000E+01  0.21022E+01
-0.44000E+01  0.20838E+01
-0.45000E+01  0.20701E+01
-0.46000E+01  0.20597E+01
-0.47000E+01  0.20518E+01
-0.48000E+01  0.20457E+01
