 zone T = "Differential Variable - IMPLICIT",
 0.00000E+00  0.39913E+01
-0.10000E+00  0.39964E+01
-0.20000E+00  0.40435E+01
-0.30000E+00  0.39741E+01
-0.40000E+00  0.39847E+01
-0.50000E+00  0.39824E+01
-0.60000E+00  0.40624E+01
-0.70000E+00  0.40021E+01
-0.80000E+00  0.39963E+01
-0.90000E+00  0.39922E+01
-0.10000E+01  0.39891E+01
-0.11000E+01  0.39873E+01
-0.12000E+01  0.39879E+01
-0.13000E+01  0.39913E+01
-0.14000E+01  0.39971E+01
-0.15000E+01  0.40059E+01
-0.16000E+01  0.40161E+01
-0.17000E+01  0.40273E+01
-0.18000E+01  0.40387E+01
-0.19000E+01  0.40497E+01
-0.20000E+01  0.40600E+01
-0.21000E+01  0.40687E+01
-0.22000E+01  0.40740E+01
-0.23000E+01  0.40784E+01
-0.24000E+01  0.40799E+01
-0.25000E+01  0.40787E+01
-0.26000E+01  0.40756E+01
-0.27000E+01  0.40703E+01
-0.28000E+01  0.40620E+01
-0.29000E+01  0.40531E+01
-0.30000E+01  0.40436E+01
-0.31000E+01  0.40339E+01
-0.32000E+01  0.40251E+01
-0.33000E+01  0.40177E+01
-0.34000E+01  0.40113E+01
-0.35000E+01  0.40060E+01
-0.36000E+01  0.40028E+01
-0.37000E+01  0.39997E+01
-0.38000E+01  0.39988E+01
-0.39000E+01  0.39967E+01
-0.40000E+01  0.39962E+01
-0.41000E+01  0.39956E+01
-0.42000E+01  0.39955E+01
-0.43000E+01  0.39943E+01
-0.44000E+01  0.39945E+01
-0.45000E+01  0.39946E+01
-0.46000E+01  0.39947E+01
-0.47000E+01  0.39947E+01
-0.48000E+01  0.39946E+01
-0.49000E+01  0.39936E+01
-0.50000E+01  0.39947E+01
-0.51000E+01  0.39950E+01
-0.52000E+01  0.39950E+01
-0.53000E+01  0.39939E+01
-0.54000E+01  0.39942E+01
-0.55000E+01  0.39947E+01
-0.56000E+01  0.39949E+01
-0.57000E+01  0.39945E+01
-0.58000E+01  0.39940E+01
-0.59000E+01  0.39940E+01
-0.60000E+01  0.39943E+01
-0.61000E+01  0.39942E+01
-0.62000E+01  0.39944E+01
-0.63000E+01  0.39941E+01
-0.64000E+01  0.39948E+01
-0.65000E+01  0.39948E+01
-0.66000E+01  0.39944E+01
-0.67000E+01  0.39939E+01
-0.68000E+01  0.39942E+01
-0.69000E+01  0.39939E+01
-0.70000E+01  0.39946E+01
-0.71000E+01  0.39946E+01
-0.72000E+01  0.39945E+01
-0.73000E+01  0.39949E+01
-0.74000E+01  0.39946E+01
-0.75000E+01  0.39941E+01
-0.76000E+01  0.39948E+01
-0.77000E+01  0.39947E+01
-0.78000E+01  0.39945E+01
-0.79000E+01  0.39944E+01
-0.80000E+01  0.39943E+01
 zone T = "Algebraic Variable - IMPLICIT",
 0.00000E+00  0.39993E+01
-0.10000E+00  0.39966E+01
-0.20000E+00  0.40000E+01
-0.30000E+00  0.40047E+01
-0.40000E+00  0.40217E+01
-0.50000E+00  0.40469E+01
-0.60000E+00  0.40140E+01
-0.70000E+00  0.40016E+01
-0.80000E+00  0.39964E+01
-0.90000E+00  0.39923E+01
-0.10000E+01  0.39894E+01
-0.11000E+01  0.39876E+01
-0.12000E+01  0.39881E+01
-0.13000E+01  0.39914E+01
-0.14000E+01  0.39973E+01
-0.15000E+01  0.40058E+01
-0.16000E+01  0.40172E+01
-0.17000E+01  0.40285E+01
-0.18000E+01  0.40406E+01
-0.19000E+01  0.40517E+01
-0.20000E+01  0.40620E+01
-0.21000E+01  0.40709E+01
-0.22000E+01  0.40782E+01
-0.23000E+01  0.40823E+01
-0.24000E+01  0.40853E+01
-0.25000E+01  0.40846E+01
-0.26000E+01  0.40815E+01
-0.27000E+01  0.40768E+01
-0.28000E+01  0.40688E+01
-0.29000E+01  0.40606E+01
-0.30000E+01  0.40502E+01
-0.31000E+01  0.40399E+01
-0.32000E+01  0.40312E+01
-0.33000E+01  0.40225E+01
-0.34000E+01  0.40162E+01
-0.35000E+01  0.40104E+01
-0.36000E+01  0.40056E+01
-0.37000E+01  0.40025E+01
-0.38000E+01  0.40000E+01
-0.39000E+01  0.39989E+01
-0.40000E+01  0.39976E+01
-0.41000E+01  0.39973E+01
-0.42000E+01  0.39961E+01
-0.43000E+01  0.39954E+01
-0.44000E+01  0.39947E+01
-0.45000E+01  0.39956E+01
-0.46000E+01  0.39951E+01
-0.47000E+01  0.39950E+01
-0.48000E+01  0.39941E+01
-0.49000E+01  0.39942E+01
-0.50000E+01  0.39954E+01
-0.51000E+01  0.39950E+01
-0.52000E+01  0.39943E+01
-0.53000E+01  0.39939E+01
-0.54000E+01  0.39951E+01
-0.55000E+01  0.39943E+01
-0.56000E+01  0.39942E+01
-0.57000E+01  0.39948E+01
-0.58000E+01  0.39940E+01
-0.59000E+01  0.39942E+01
-0.60000E+01  0.39942E+01
-0.61000E+01  0.39944E+01
-0.62000E+01  0.39943E+01
-0.63000E+01  0.39939E+01
-0.64000E+01  0.39965E+01
-0.65000E+01  0.39937E+01
-0.66000E+01  0.39958E+01
-0.67000E+01  0.39948E+01
-0.68000E+01  0.39942E+01
-0.69000E+01  0.39970E+01
-0.70000E+01  0.39910E+01
-0.71000E+01  0.40005E+01
-0.72000E+01  0.39988E+01
-0.73000E+01  0.39969E+01
-0.74000E+01  0.40173E+01
-0.75000E+01  0.40002E+01
-0.76000E+01  0.39982E+01
-0.77000E+01  0.39956E+01
-0.78000E+01  0.40022E+01
-0.79000E+01  0.40064E+01
-0.80000E+01  0.39266E+01
