 zone T = "Differential Variable - IMPLICIT",
 0.00000E+00  0.39894E+01
-0.10000E+00  0.39854E+01
-0.20000E+00  0.39836E+01
-0.30000E+00  0.39829E+01
-0.40000E+00  0.39826E+01
-0.50000E+00  0.39964E+01
-0.60000E+00  0.39812E+01
-0.70000E+00  0.39821E+01
-0.80000E+00  0.39961E+01
-0.90000E+00  0.39958E+01
-0.10000E+01  0.39800E+01
-0.11000E+01  0.39963E+01
-0.12000E+01  0.39967E+01
-0.13000E+01  0.39959E+01
-0.14000E+01  0.39806E+01
-0.15000E+01  0.39793E+01
-0.16000E+01  0.39961E+01
-0.17000E+01  0.39945E+01
-0.18000E+01  0.39805E+01
-0.19000E+01  0.39944E+01
-0.20000E+01  0.39796E+01
-0.21000E+01  0.39804E+01
-0.22000E+01  0.39962E+01
-0.23000E+01  0.39945E+01
-0.24000E+01  0.39953E+01
-0.25000E+01  0.39953E+01
-0.26000E+01  0.39944E+01
-0.27000E+01  0.39814E+01
-0.28000E+01  0.39944E+01
-0.29000E+01  0.39946E+01
-0.30000E+01  0.39953E+01
-0.31000E+01  0.39963E+01
-0.32000E+01  0.39806E+01
-0.33000E+01  0.39971E+01
-0.34000E+01  0.39795E+01
-0.35000E+01  0.39965E+01
-0.36000E+01  0.39799E+01
-0.37000E+01  0.39801E+01
-0.38000E+01  0.39948E+01
-0.39000E+01  0.39956E+01
-0.40000E+01  0.39945E+01
-0.41000E+01  0.39959E+01
-0.42000E+01  0.39808E+01
-0.43000E+01  0.39962E+01
-0.44000E+01  0.39964E+01
-0.45000E+01  0.39951E+01
-0.46000E+01  0.39940E+01
-0.47000E+01  0.39806E+01
-0.48000E+01  0.39792E+01
-0.49000E+01  0.39948E+01
-0.50000E+01  0.39793E+01
-0.51000E+01  0.39959E+01
-0.52000E+01  0.39963E+01
-0.53000E+01  0.39801E+01
-0.54000E+01  0.39950E+01
-0.55000E+01  0.39804E+01
-0.56000E+01  0.39969E+01
-0.57000E+01  0.39970E+01
-0.58000E+01  0.39970E+01
-0.59000E+01  0.39959E+01
-0.60000E+01  0.39793E+01
-0.61000E+01  0.39964E+01
-0.62000E+01  0.39965E+01
-0.63000E+01  0.39799E+01
-0.64000E+01  0.39800E+01
-0.65000E+01  0.39959E+01
-0.66000E+01  0.39793E+01
-0.67000E+01  0.39959E+01
-0.68000E+01  0.39794E+01
-0.69000E+01  0.39949E+01
-0.70000E+01  0.39956E+01
-0.71000E+01  0.39940E+01
-0.72000E+01  0.39963E+01
